A,,,,,
B,,LEBT1-LebanonTN,OHHT1-OLD_HICKORY,SMLK2-CumberlandR-SmithlandKY,KINT1-HarpethR-KingstonSpringsTN
C,UTC,Precip-Inc,Precip-Inc,Precip-Inc,Precip-Inc
E,,,,,
F,,dcp-rev,dcp-rev,dcp-rev,dcp-rev
Units,,in,in,in,in
Type,,PER-CUM,PER-CUM,PER-CUM,PER-CUM
401,09May2020  0300,0.00000,0.00000,0.00000,0.000
402,09May2020  0330,0.00000,0.00000,0.00000,0.000
403,09May2020  0400,0.00000,0.00000,0.00000,0.000
404,09May2020  0430,0.00000,0.00000,0.00000,0.000
405,09May2020  0500,0.00000,0.00000,0.00000,0.000
406,09May2020  0530,0.00000,0.00000,0.00000,0.000
407,09May2020  0600,0.00000,0.00000,0.00000,0.000
408,09May2020  0630,0.00000,0.00000,0.00000,0.000
409,09May2020  0700,0.00000,0.00000,0.00000,0.000
410,09May2020  0730,0.00000,0.00000,0.00000,0.000
411,09May2020  0800,0.00000,0.00000,0.00000,0.000
412,09May2020  0830,0.00000,0.00000,0.00000,0.000
413,09May2020  0900,0.00000,0.00000,0.00000,0.000
414,09May2020  0930,0.00000,0.00000,0.00000,0.000
415,09May2020  1000,0.00000,0.00000,0.00000,0.000
416,09May2020  1030,0.00000,0.00000,0.00000,0.000
417,09May2020  1100,0.00000,0.00000,0.00000,0.000
418,09May2020  1130,0.00000,0.00000,0.00000,0.000
419,09May2020  1200,0.00000,0.00000,0.00000,0.000
420,09May2020  1230,0.00000,0.00000,0.00000,0.000
421,09May2020  1300,0.00000,0.00000,0.00000,0.000
422,09May2020  1330,0.00000,0.00000,0.00000,0.000
423,09May2020  1400,0.00000,0.00000,0.00000,0.000
424,09May2020  1430,0.00000,0.00000,0.00000,0.000
425,09May2020  1500,0.00000,0.00000,0.00000,0.000
426,09May2020  1530,0.00000,0.00000,0.00000,0.000
427,09May2020  1600,0.00000,0.00000,0.00000,0.000
428,09May2020  1630,0.00000,0.00000,0.00000,0.000
429,09May2020  1700,0.00000,0.00000,0.00000,0.000
430,09May2020  1730,0.00000,0.00000,0.00000,0.000
431,09May2020  1800,0.00000,0.00000,0.00000,0.000
432,09May2020  1830,0.00000,0.00000,0.00000,0.000
433,09May2020  1900,0.00000,0.00000,0.00000,0.000
434,09May2020  1930,0.00000,0.00000,0.00000,0.000
435,09May2020  2000,0.00000,0.00000,0.00000,0.000
436,09May2020  2030,0.00000,0.00000,0.00000,0.000
437,09May2020  2100,0.00000,0.00000,0.00000,0.000
438,09May2020  2130,0.00000,0.00000,0.00000,0.000
439,09May2020  2200,0.00000,0.00000,0.00000,0.000
440,09May2020  2230,0.00000,0.00000,0.00000,0.000
441,09May2020  2300,0.00000,0.00000,0.00000,0.000
442,09May2020  2330,0.00000,0.00000,0.00000,0.000
443,10May2020  0000,0.00000,0.00000,0.00000,0.000
444,10May2020  0030,0.00000,0.00000,0.00000,0.000
445,10May2020  0100,0.00000,0.00000,0.00000,0.000
446,10May2020  0130,0.00000,0.00000,0.00000,0.000
447,10May2020  0200,0.00000,0.00000,0.00000,0.000
